Variant	A153	A154	A155	A156	A157	A158	A159	A160	A161	A162	A163	A164	A165	A166
ASV4	5469	2216	14002	1378	2000	6652	6512	629	10097	28905	2338	1674	27	432
ASV6	4972	9478	16617	11214	10743	4670	0	0	5068	7078	7210	2497	16	0
ASV7	5524	6862	12384	1991	2694	10708	6915	0	3798	6080	8876	10475	121	0
ASV9	4366	4551	12533	7637	4717	5823	928	0	8474	3094	6714	1395	0	0
ASV10	3300	2035	10797	9322	8051	1080	202	0	5617	8843	5227	2237	19	0
ASV11	977	3655	10550	7717	4507	11918	360	0	8688	3566	1050	2670	15	0
ASV12	1565	964	2185	33	786	3379	32782	0	372	2346	1387	163	11	0
ASV13	2390	78	6131	5909	2339	1159	9772	0	7463	7702	1629	0	6	0
ASV14	0	0	208	0	0	0	0	0	0	40303	0	0	0	0
ASV15	0	0	185	0	0	33354	0	0	0	0	0	0	0	0
ASV16	1796	2491	4465	748	374	11256	0	0	1074	1776	1823	1725	0	0
ASV17	2706	986	4603	2051	4881	2358	411	945	943	3031	2276	1511	0	0
ASV18	0	234	80	0	0	24974	0	0	416	273	0	0	0	0
ASV19	212	864	747	2405	0	20886	0	0	375	256	217	0	0	0
ASV20	1693	1615	6244	3539	2530	0	0	0	2744	3012	2479	794	22	0
ASV22	3106	345	4508	1434	1014	1037	1790	0	3987	3649	1376	1445	0	0
ASV23	0	427	3752	0	0	17473	0	0	0	317	0	0	0	0
ASV24	3098	2000	3046	4113	4302	0	0	0	0	2213	655	1952	16	0
ASV26	166	0	0	0	0	0	0	0	0	0	0	19743	0	0
ASV28	1802	673	3642	1053	4325	0	0	752	0	2916	1999	750	0	0
ASV29	1623	25	2372	1546	1639	1615	439	0	683	2463	2436	697	0	0
ASV30	1496	362	3058	516	1005	2097	1205	0	1034	1121	962	1971	0	0
ASV33	138	0	2113	0	180	11423	0	87	45	0	42	0	0	0
ASV34	162	645	225	175	0	11396	0	0	189	174	198	283	0	0
ASV35	1744	1060	2277	1458	1114	476	0	0	490	1732	1840	339	0	0
ASV36	85	1195	853	319	1878	2798	1775	0	224	1582	1308	18	0	0
ASV37	1229	328	2465	406	817	0	995	0	0	1261	1079	2083	0	0
ASV39	0	0	0	0	0	0	10042	0	0	0	0	0	0	0
ASV40	0	0	0	0	0	0	0	10025	0	0	0	0	0	0
ASV41	378	0	3131	118	846	0	696	0	1496	596	1287	1211	0	0
ASV42	0	0	8137	0	0	0	0	0	0	0	0	1295	0	0
ASV45	1638	0	321	10	0	0	0	0	0	0	2002	4679	0	0
ASV46	119	0	592	3	431	6653	0	0	718	0	0	0	0	0
ASV47	706	1081	999	276	222	1027	604	0	942	1405	254	882	0	0
ASV48	321	0	307	6837	54	0	0	0	307	0	287	0	0	0
ASV49	0	0	0	606	0	0	7473	0	0	0	0	0	0	0
ASV50	65	0	341	0	0	0	7383	0	0	0	0	0	0	0
ASV51	1526	560	4412	0	0	451	0	0	517	233	0	0	0	0
ASV52	1527	465	213	973	1198	0	0	0	0	267	2288	653	0	0
ASV53	1742	351	2092	2098	607	0	0	0	0	183	242	113	0	0
ASV54	620	319	1733	498	478	418	496	0	0	1488	500	698	0	0
ASV55	481	500	1029	101	1762	0	0	0	0	380	0	2600	0	0
ASV56	188	1706	712	315	468	1814	162	0	0	0	1374	0	9	0
ASV57	0	0	1265	3153	223	415	0	0	0	810	118	657	11	0
ASV59	237	843	1118	1169	0	1438	0	0	0	676	433	547	0	0
ASV60	559	0	734	95	433	0	0	0	426	142	4051	0	0	0
ASV61	0	0	0	1241	3268	0	1889	0	0	0	0	0	0	0
ASV62	39	0	476	0	0	0	5588	0	0	169	41	0	0	0
ASV63	44	5317	204	0	0	0	0	0	0	0	116	582	0	0
ASV64	420	551	2482	228	505	0	0	0	0	1423	644	0	0	0
ASV65	0	0	75	0	0	0	5598	0	0	540	0	0	0	0
ASV66	2521	325	228	37	257	0	0	0	796	0	0	2036	0	0
ASV68	243	0	257	82	574	655	0	0	1877	868	300	1188	10	0
ASV69	0	0	0	0	0	0	6038	0	0	0	0	0	0	0
ASV71	0	0	0	676	0	0	5339	0	0	0	0	0	0	0
ASV72	0	0	0	0	0	0	5754	0	0	0	0	0	0	0
