ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total_Reads	Mean_Abundance	Max_Abundance	N_Samples
ASV170	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	appendicis	2210	200.9090909090909	630	9
ASV233	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	1323	120.27272727272727	556	6
ASV356	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	1064	96.72727272727273	555	5
ASV326	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	1057	96.0909090909091	311	6
ASV901	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	533	48.45454545454545	254	3
ASV1008	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	amarae	453	41.18181818181818	207	4
ASV1202	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	NA	358	32.54545454545455	197	6
ASV1579	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	cristatus	350	31.818181818181817	241	4
ASV1247	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	344	31.272727272727273	112	4
ASV1428	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	genitalium	308	28	146	5
ASV1393	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	297	27	297	1
ASV1824	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	pilbarense	266	24.181818181818183	155	5
ASV1708	Bacteria	Bacillota	Clostridia	NA	NA	NA	NA	255	23.181818181818183	255	1
ASV2719	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	NA	255	23.181818181818183	255	1
