Variant	A001	A002	A003	A004	A005	A006	A007	A008	A009	A010	A011	A012	A013	A014
ASV6	2141	1354	7491	6276	5557	1115	113	0	4997	5751	3759	1423	10	0
ASV7	2625	2788	5863	788	1153	6226	2845	0	2513	3196	4925	5634	66	0
ASV8	2365	871	5460	537	749	2845	2251	230	6054	14497	1236	803	13	312
ASV9	2118	3088	7382	3669	4440	1895	0	0	2559	2859	4050	1046	6	0
ASV10	559	1852	4684	3824	2420	6727	176	0	7369	2416	747	1705	16	0
ASV11	2518	967	4800	1667	5264	2354	193	988	934	4304	3224	1579	0	0
ASV12	1279	42	3211	3021	1094	858	4039	0	6867	5374	1119	0	5	0
ASV13	1836	1548	5781	2544	1988	2640	320	0	4410	1270	3796	594	0	0
ASV14	880	484	1208	22	430	2776	14764	0	350	1553	905	113	2	0
ASV15	0	0	96	0	0	0	0	0	0	22677	0	0	0	0
ASV16	0	0	82	0	0	19431	0	0	0	0	0	0	0	0
ASV17	1715	435	3284	545	1097	2292	1100	0	1168	1795	1487	3102	0	0
ASV18	1140	897	3971	2114	1638	0	0	0	2519	2285	2501	626	19	0
ASV19	117	400	370	1244	0	11587	0	0	240	168	160	0	14	0
ASV20	1490	168	2456	756	561	649	770	0	3087	2249	971	952	0	0
ASV21	0	80	38	0	0	12571	0	0	173	111	0	0	0	0
ASV23	701	793	2091	233	174	5031	0	0	509	673	990	600	0	0
ASV24	59	0	0	0	0	0	0	0	0	0	0	11698	0	0
ASV25	0	129	1553	0	0	9509	0	0	0	129	0	0	0	0
ASV27	290	1848	1011	292	707	3974	159	0	103	136	2628	0	6	0
ASV29	1324	882	1234	1722	1856	0	0	0	0	1217	366	1074	6	0
ASV30	1181	634	1848	883	743	295	0	0	384	1410	1850	223	0	0
ASV32	87	325	121	76	0	7766	0	0	182	116	148	200	0	0
ASV33	735	1283	1258	158	146	1157	567	0	962	1137	520	668	23	0
ASV34	96	0	1087	0	101	6536	0	40	35	0	26	0	0	0
ASV36	703	17	1029	622	725	780	154	0	480	1470	1368	413	0	0
ASV37	194	0	881	343	172	1441	291	0	1015	1277	496	205	12	0
ASV38	137	0	2138	48	534	0	390	0	1048	360	779	768	0	0
ASV39	0	0	0	0	0	0	0	5591	0	0	0	0	0	0
ASV40	987	300	3094	0	0	431	0	0	542	162	0	0	0	0
ASV42	254	260	688	681	1272	0	0	0	838	534	784	0	0	0
ASV43	0	0	4251	0	0	0	0	0	0	0	0	891	0	0
ASV44	57	0	244	1	284	3965	0	0	569	0	0	0	0	0
ASV45	808	0	178	0	0	0	0	0	0	0	1294	2801	0	0
ASV47	0	0	0	0	0	0	5007	0	0	0	0	0	0	0
ASV48	34	446	275	108	717	1262	677	0	126	759	576	5	0	0
ASV50	430	225	1062	279	85	846	60	0	465	0	586	696	0	0
ASV51	0	0	0	0	0	0	4428	0	0	0	0	0	0	0
ASV53	740	212	119	446	540	0	0	0	0	159	1453	371	0	0
ASV54	268	126	935	0	250	0	54	188	547	721	469	260	0	0
ASV57	201	0	0	0	0	0	0	0	0	145	3430	0	0	0
ASV58	0	0	0	0	0	0	0	0	0	0	3774	0	0	0
ASV59	209	0	805	171	131	0	139	0	348	1212	430	326	0	0
ASV60	160	0	134	2905	19	0	0	0	229	0	220	0	0	0
ASV61	0	0	52	0	0	0	3286	0	2	322	0	0	0	0
ASV62	830	161	1029	980	302	0	0	0	0	122	150	65	0	0
ASV63	405	0	306	397	0	0	0	0	1695	531	299	0	0	0
ASV64	0	0	0	297	0	0	3302	0	0	0	0	0	0	0
ASV65	431	349	878	0	175	0	221	0	376	873	288	0	4	0
ASV66	214	0	316	39	182	0	0	0	227	78	2395	0	0	0
ASV67	204	226	461	41	769	0	0	0	0	204	0	1508	0	0
ASV68	110	0	123	34	279	324	0	0	1237	472	190	615	9	0
ASV69	414	325	1836	128	254	0	0	0	0	195	211	0	0	0
ASV71	208	240	1230	110	249	0	0	0	0	825	351	0	0	0
ASV72	36	0	134	0	0	0	3014	0	0	0	0	0	0	0
ASV73	199	0	388	284	351	134	0	0	664	148	5	915	6	0
ASV74	0	0	568	1292	87	242	0	0	0	472	58	343	3	0
ASV75	0	0	0	0	0	3005	0	0	0	0	0	0	0	0
ASV76	229	135	659	180	193	189	153	0	0	688	253	315	0	0
ASV78	14	0	0	269	0	0	0	1580	558	82	400	0	0	0
ASV79	0	0	0	625	1514	0	747	0	0	0	0	0	0	0
ASV80	25	46	333	189	209	1387	0	0	159	451	86	0	0	0
ASV81	0	0	223	0	0	0	2484	0	0	124	44	0	0	0
ASV82	119	315	528	418	0	631	0	0	0	294	258	264	0	0
ASV83	21	862	77	299	36	0	0	0	0	230	1087	205	0	0
ASV84	170	0	75	362	1011	0	0	0	605	126	466	0	0	0
ASV85	1197	154	0	0	0	0	0	0	472	0	0	973	0	0
ASV86	305	0	503	109	0	140	152	0	0	401	170	1001	0	0
ASV88	0	2241	103	0	0	0	0	0	0	0	70	331	0	0
