Variant	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV6	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	aerosaccus
ASV7	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV8	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	NA
ASV9	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
ASV10	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV11	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV12	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA
ASV13	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
ASV14	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	magna
ASV15	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	NA
ASV16	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	parainfluenzae
ASV17	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV18	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	nishinomiyaensis
ASV19	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV20	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV21	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa
ASV23	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
ASV24	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	caulinodans
ASV25	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa
ASV27	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA
ASV29	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV30	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	nishinomiyaensis
ASV32	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	NA
ASV33	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV34	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV36	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	lipophiloflavum
ASV37	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV38	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	contaminans
ASV39	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	NA	NA
ASV40	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	NA
ASV42	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA
ASV43	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV44	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV45	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	NA
ASV47	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	NA
ASV48	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	massiliense
ASV50	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV51	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA
ASV53	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	NA
ASV54	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV57	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Endobacter	NA
ASV58	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Endobacter	NA
ASV59	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	appendicis
ASV60	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
ASV61	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	disiens
ASV62	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV63	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	iners
ASV64	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA
ASV65	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV66	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	NA
ASV67	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	NA
ASV68	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	minutissimum
ASV69	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA
ASV71	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA
ASV72	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	coxii
ASV73	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	NA
ASV74	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	NA
ASV75	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	flavescens
ASV76	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV78	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV79	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	NA
ASV80	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Dietziaceae	Dietzia	NA
ASV81	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	NA
ASV82	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
ASV83	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA
ASV84	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lwoffii
ASV85	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA
ASV86	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV88	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	vaginalis
ASV89	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA
ASV90	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Macrococcus	NA
ASV91	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV92	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	dispar
ASV93	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	NA
ASV94	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV95	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA
ASV96	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	NA	NA
ASV98	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	NA
ASV99	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
ASV100	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV101	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV102	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	deltae
ASV103	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
ASV104	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	jeikeium
ASV105	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	aurimucosum
ASV106	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV107	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	dentocariosa
ASV108	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	NA
ASV109	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV110	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Lichenibacterium	NA
ASV111	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV112	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	lacrimalis
ASV113	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV114	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	NA
ASV115	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV116	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV117	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
ASV118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	NA
ASV120	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens
ASV121	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA
ASV122	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	NA
ASV124	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA
ASV125	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	lylae
ASV126	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	propionicifaciens
ASV127	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	vaginalis
ASV128	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV129	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV130	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	aquatica
ASV131	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	alpinus
ASV132	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Arsenicicoccus	NA
ASV133	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	NA
ASV134	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV135	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV136	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	vaginae
ASV137	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	paucivorans
ASV138	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	lipophiloflavum
ASV139	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	octavius
ASV140	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA
ASV142	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
ASV144	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV145	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV146	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	NA
ASV147	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV148	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV149	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	NA
ASV150	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV151	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	NA	NA
ASV152	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA
ASV153	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	elegans
ASV154	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	hominis
ASV155	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	NA
ASV156	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Endobacter	NA
ASV157	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermatophilaceae	Mobilicoccus	NA
ASV158	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella	NA
ASV159	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
ASV161	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA
ASV162	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
ASV163	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	kroppenstedtii
ASV164	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA
ASV165	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
ASV166	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	auris
ASV167	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Rhodococcus	NA
ASV168	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV169	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV170	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA
ASV171	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	NA
ASV172	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	NA	NA
ASV173	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Murdochiella	asaccharolytica
ASV174	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	suicordis
ASV175	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
ASV176	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	NA	NA
ASV177	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	NA	NA
ASV178	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
ASV179	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	namnetense
ASV180	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA
ASV181	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV182	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Granulicella	NA
ASV183	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azospira	oryzae
ASV184	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA
ASV185	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
ASV186	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
ASV187	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
ASV188	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Lichenibacterium	NA
ASV189	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia	terrae
ASV190	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	NA
ASV191	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Endobacter	NA
ASV192	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Ezakiella	NA
ASV193	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
ASV194	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	staleyi
ASV195	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	NA
ASV196	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
ASV197	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Lichenibacterium	NA
ASV198	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	NA
ASV199	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocella	NA
ASV200	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	epidermidis
ASV201	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	NA
